Comune,Istat,Dato riferito a:,Frazione organica (t),Ing. misti a recupero(t),Carta e cartone (t),Altro RD (t),Legno (t),Metallo (t),Plastica (t),RAEE (t),Selettiva (t),Tessili (t),Vetro (t),Rifiuti da costruzione e demolizione (t),Anno
4022001,Comune,"895,404",,"508,896","19,908","22,817","91,240","214,117","6,507",,"34,079","415,154",,,2014
4022002,Comune,"132,804",,"79,133","3,812","25,357","14,451","35,497","10,283",,"1,600","36,376",,,2014
4022003,Comune,"325,938",,"172,566","11,932","64,820","48,407","99,726","24,596",,"7,900","97,797",,,2014
4022004,Comune,"27,607",,"19,417","2,598","8,925","4,074","8,178","2,367",,"0,286","8,806",,,2014
4022005,Comune,"661,035",,"243,566","3,734","89,740","52,518","120,461","15,536",,"1,693","188,548",,,2014
4022006,Comune,"2.361,311",,"1.170,507","26,244","296,708","179,946","735,669","145,362",,"8,373","425,053",,,2014
4022007,Comune,"435,631",,"227,233","16,104","93,460","47,331","95,570","29,098",,"15,660","193,258",,,2014
4022009,Comune,"839,257",,"432,472","25,883","126,500","68,742","113,154","34,938",,"7,187","283,782",,,2014
4022011,Comune,"231,910",,"119,500","6,218","42,736","24,107","31,265","11,649",,"1,985","78,414",,,2014
4022012,Comune,"10,679",,"7,368","0,291","1,970","1,173","2,971","0,693",,"0,367","5,917",,,2014
4022013,Comune,"249,349",,"135,574","9,244","44,370","26,668","50,050","15,155",,"6,320","107,779",,,2014
4022015,Comune,"42,562",,"24,865","2,660","4,474","5,341","20,556","3,852",,"0,185","13,441",,,2014
4022017,Comune,"168,740",,"116,417","4,845","31,135","18,537","46,937","10,943",,"5,799","93,488",,,2014
4022018,Comune,"37,195",,"25,662","1,012","6,863","4,086","10,346","2,412",,"1,278","20,608",,,2014
4022019,Comune,"36,059",,"24,879","0,980","6,654","3,961","10,031","2,338",,"1,239","19,978",,,2014
4022020,Comune,"35,480",,"24,479","0,964","6,547","3,898","9,869","2,300",,"1,219","19,657",,,2014
4022021,Comune,"34,766",,"23,987","0,945","6,415","3,819","9,671","2,255",,"1,195","19,262",,,2014
4022022,Comune,"972,191",,"441,198","35,445","115,664","78,780","267,882","54,017",,"2,594","171,887",,,2014
4022023,Comune,"115,955",,"59,053","3,231","14,719","9,399","15,778","5,775",,"0,805","38,510",,,2014
4022024,Comune,"31,314",,"21,604","0,852","5,778","3,440","8,710","2,031",,"1,076","17,349",,,2014
4022025,Comune,"492,728",,"280,050","15,254","110,177","45,909","96,980","25,107",,"17,255","240,816",,,2014
4022026,Comune,"24,539",,"17,259","2,309","7,933","3,623","7,270","2,104",,"0,254","7,827",,,2014
4022027,Comune,"73,803",,"51,909","6,945","23,861","10,893","21,863","6,330",,"0,764","23,541",,,2014
4022028,Comune,"3,548",,"2,449","0,097","0,655","0,390","0,987","0,229",,"0,122","1,966",,,2014
4022029,Comune,"44,718",,"30,852","1,216","8,251","4,913","12,438","2,900",,"1,537","24,775",,,2014
4022030,Comune,"33,090",,"23,274","3,113","10,698","4,885","9,802","2,838",,"0,343","10,555",,,2014
4022031,Comune,"177,762",,"113,083","5,144","27,583","16,057","44,279","9,357",,"1,509","64,750",,,2014
4022032,Comune,"289,482",,"146,293","10,049","41,503","23,746","41,238","13,370",,"1,602","101,919",,,2014
4022033,Comune,"52,344",,"39,865","4,293","12,004","15,384","15,196","8,013",,"2,924","35,168",,,2014
4022034,Comune,"552,207",,"279,060","14,818","79,847","45,286","81,146","25,494",,"3,056","194,406",,,2014
4022035,Comune,"197,695",,"80,494","2,827","6,921","8,526","31,799","1,228",,"8,200","81,439",,,2014
